chave_municipal,data_marco_adotado,tipo_marco_adotado,fonte_marco_adotado,data_primeiro_repasse_elegivel,intervalo_desde_marco_adotado_dias,status_intervalo,criterio_primeiro_repasse,qtd_estornos_ignorados
4314068,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4318465,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4320602,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4315131,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-25,92,ok,valor > 0 e data válida,0
4309555,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4300208,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-21,58,ok,valor > 0 e data válida,0
4300307,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4300406,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4300570,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4300703,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4300802,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4300877,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-12,79,ok,valor > 0 e data válida,0
4301107,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4301404,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-14,51,ok,valor > 0 e data válida,0
4301503,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-01,68,ok,valor > 0 e data válida,0
4301602,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,0
4301651,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4302303,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-01,68,ok,valor > 0 e data válida,0
4302451,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4302584,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4302907,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4303202,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4303400,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4303558,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4304101,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4304358,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-23,29,ok,valor > 0 e data válida,0
4304408,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4304622,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4304689,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-04,41,ok,valor > 0 e data válida,0
4304697,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4304804,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-10,77,ok,valor > 0 e data válida,0
4304853,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-23,29,ok,valor > 0 e data válida,0
4305405,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4305447,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4305504,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4305934,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4306072,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4306130,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4306304,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4306452,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4306908,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4306957,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4307005,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4307203,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4307815,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4307864,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4307906,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4308052,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4308201,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4308607,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4308656,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-08,75,ok,valor > 0 e data válida,0
4309126,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4309258,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-08,75,ok,valor > 0 e data válida,0
4307104,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4310009,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-04,41,ok,valor > 0 e data válida,0
4310207,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-25,62,ok,valor > 0 e data válida,0
4310413,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4310553,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-01,68,ok,valor > 0 e data válida,0
4310579,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,1
4310603,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,0
4310652,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4311007,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-03,40,ok,valor > 0 e data válida,0
4311239,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4311429,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-26,63,ok,valor > 0 e data válida,0
4311601,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4311759,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4311791,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,1
4312138,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-17,54,ok,valor > 0 e data válida,0
4312153,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4312302,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4312385,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4312443,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4312450,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4312476,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4312757,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4312906,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4313003,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-11,48,ok,valor > 0 e data válida,0
4313037,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4313086,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4313201,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4313300,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4313490,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4313391,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4313441,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4313466,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4313953,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4314001,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4314159,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4314423,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-01,68,ok,valor > 0 e data válida,0
4314506,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4314779,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4315008,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4315107,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-12,49,ok,valor > 0 e data válida,0
4315172,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-25,62,ok,valor > 0 e data válida,0
4315321,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,1
4315354,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4315750,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4316204,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4316402,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,0
4316501,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4316758,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-23,29,ok,valor > 0 e data válida,1
4317301,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4317004,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4317509,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4317608,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,0
4317558,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4318002,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4318051,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4318101,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4318200,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,1
4318440,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4318481,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4318614,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4318903,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4319000,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4319406,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4319703,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4319901,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4320305,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,0
4320800,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4321105,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-25,62,ok,valor > 0 e data válida,0
4321667,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-12,79,ok,valor > 0 e data válida,0
4321832,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4321907,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4322152,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4322251,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4322400,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4322509,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4322541,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-13,50,ok,valor > 0 e data válida,0
4323457,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-01,68,ok,valor > 0 e data válida,0
4323606,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4323770,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-10,47,ok,valor > 0 e data válida,0
4300554,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
